STATIONS_ID;MESS_DATUM;QUALITAETS_NIVEAU;LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE;WINDGESCHWINDIGKEIT;LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM;WINDSPITZE_MAXIMUM;NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER;SCHNEEHOEHE;eor
     1691;19470101;   5;   -2.3;   4.3;   7.0;  999.10;   82.00;-999;   -1.2;   -4.5;   -6.5;-999;   1.0;   7;     -999;   0;eor
     1691;19470102;   5;   -0.2;   5.2;   7.7; 1003.00;   88.00;-999;    0.9;   -2.6;   -4.9;-999;   0.1;   7;     -999;   1;eor
     1691;19470103;   5;   -1.2;   4.8;   7.7; 1010.70;   83.00;-999;    0.3;   -3.6;   -1.6;-999;   0.0;   0;     -999;   1;eor
     1691;19470104;   5;   -9.2;   2.4;   2.0; 1015.00;   75.00;-999;   -2.0;  -12.0;   -8.8;-999;   0.0;   0;     -999;   0;eor
     1691;19470105;   5;  -13.2;   1.5;   0.0; 1009.00;   69.00;-999;  -11.3;  -14.6;  -18.5;-999;   0.0;   0;     -999;   0;eor
     1691;19470106;   5;  -13.6;   1.5;   0.0; 1003.50;   66.00;-999;  -10.3;  -15.5;  -19.2;-999;   0.0;   0;     -999;   0;eor
     1691;19470107;   5;  -16.7;   1.3;   0.0;  999.90;   75.00;-999;  -13.4;  -18.4;  -22.5;-999;   0.0;   0;     -999;   0;eor
     1691;19470108;   5;  -12.4;   1.9;   6.0; 1000.70;   79.00;-999;  -10.3;  -18.3;  -20.7;-999;   0.0;   7;     -999;   0;eor
     1691;19470109;   5;   -3.0;   4.4;   8.0;  995.20;   90.00;-999;   -1.4;  -10.5;  -11.0;-999;   0.5;   7;     -999;   0;eor
     1691;19470110;   5;   -1.0;   5.7;   8.0;  997.80;   93.00;-999;    1.9;   -3.5;   -2.9;-999;   0.4;   8;     -999;   1;eor
     1691;19470111;   5;   -4.8;   3.7;   8.0;  992.60;   86.00;-999;   -3.2;   -5.5;   -5.7;-999;   4.1;   7;     -999;   1;eor
     1691;19470112;   5;    3.5;   6.7;   7.0;  985.60;   85.00;-999;    4.4;   -5.4;   -5.5;-999;   0.5;   1;     -999;   4;eor
     1691;19470113;   5;    3.8;   7.3;   5.3;  983.80;   88.00;-999;    6.1;    1.9;    0.5;-999;   3.3;   1;     -999;   0;eor
